Global Land and Ocean Temperature Anomalies, February-January
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1881,-0.12
1882,-0.06
1883,-0.13
1884,-0.17
1885,-0.27
1886,-0.23
1887,-0.27
1888,-0.27
1889,-0.11
1890,-0.12
1891,-0.35
1892,-0.24
1893,-0.35
1894,-0.30
1895,-0.31
1896,-0.22
1897,-0.09
1898,-0.09
1899,-0.28
1900,-0.17
1901,-0.06
1902,-0.15
1903,-0.26
1904,-0.40
1905,-0.43
1906,-0.26
1907,-0.22
1908,-0.38
1909,-0.44
1910,-0.42
1911,-0.41
1912,-0.42
1913,-0.34
1914,-0.28
1915,-0.16
1916,-0.09
1917,-0.35
1918,-0.38
1919,-0.30
1920,-0.25
1921,-0.22
1922,-0.18
1923,-0.24
1924,-0.25
1925,-0.26
1926,-0.13
1927,-0.10
1928,-0.16
1929,-0.22
1930,-0.32
1931,-0.08
1932,-0.05
1933,-0.16
1934,-0.26
1935,-0.11
1936,-0.16
1937,-0.11
1938,0.01
1939,-0.03
1940,0.02
1941,0.18
1942,0.27
1943,0.08
1944,0.14
1945,0.26
1946,0.18
1947,-0.05
1948,-0.02
1949,-0.05
1950,-0.11
1951,-0.15
1952,0.03
1953,0.04
1954,0.10
1955,-0.07
1956,-0.15
1957,-0.18
1958,0.10
1959,0.11
1960,0.07
1961,0.06
1962,0.09
1963,0.10
1964,0.11
1965,-0.15
1966,-0.07
1967,-0.02
1968,-0.01
1969,-0.02
1970,0.12
1971,0.05
1972,-0.09
1973,0.08
1974,0.15
1975,-0.04
1976,0.00
1977,-0.06
1978,0.21
1979,0.12
1980,0.24
1981,0.30
1982,0.29
1983,0.22
1984,0.34
1985,0.16
1986,0.16
1987,0.24
1988,0.40
1989,0.36
1990,0.31
1991,0.45
1992,0.39
1993,0.23
1994,0.28
1995,0.37
1996,0.44
1997,0.33
1998,0.54
1999,0.64
2000,0.43
2001,0.43
2002,0.59
2003,0.62
2004,0.63
2005,0.58
2006,0.65
2007,0.67
2008,0.56
2009,0.57
2010,0.65
2011,0.70
2012,0.57
2013,0.65
2014,0.68
2015,0.75
2016,0.95
2017,0.98
2018,0.89
2019,0.84
2020,0.96
